id;depart;type;speedFactor;duration;waitingTime;timeLoss;traveltime;walk_depart;departPos;arrival;arrivalPos;walk_duration;routeLength;walk_timeLoss;maxSpeed;walk_waitingTime
pf_PedEnd.Minor.200.N_end.E_sidewalk__Node.Main.0.N__seg1__0.4;2511.00;DEFAULT_PEDTYPE;1.03;385.00;76.00;110.77;385.00;2511.00;0.10;2896.00;0.10;385.00;391.66;110.77;1.43;76.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__PedEnd.Minor.460.S_end.W_sidewalk__seg1__0.0;2576.00;DEFAULT_PEDTYPE;1.11;320.00;0.00;33.70;320.00;2576.00;0.10;2896.00;0.10;320.00;441.82;33.70;1.54;0.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__seg1__0.3;2535.00;DEFAULT_PEDTYPE;0.82;362.00;0.00;35.99;362.00;2535.00;0.10;2897.00;112.00;362.00;372.92;35.99;1.14;0.00
pf_PedEnd.Main.E_end.S_sidewalk__PedEnd.Minor.460.N_end.E_sidewalk__seg1__0.0;2434.00;DEFAULT_PEDTYPE;0.98;463.00;66.00;108.09;463.00;2434.00;0.10;2897.00;0.10;463.00;481.25;108.09;1.36;66.00
pf_PedEnd.Minor.200.S_end.E_sidewalk__PedEnd.Minor.340.S_end.W_sidewalk__seg1__0.0;2483.00;DEFAULT_PEDTYPE;0.97;415.00;0.00;44.79;415.00;2483.00;177.70;2898.00;0.10;415.00;499.68;44.79;1.35;0.00
pf_PedEnd.Minor.460.S_end.E_sidewalk__Node.Main.740.N__seg1__0.0;2428.00;DEFAULT_PEDTYPE;0.99;472.00;63.00;104.71;472.00;2428.00;180.90;2900.00;112.00;472.00;503.85;104.71;1.37;63.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.280.N_end.W_sidewalk__seg1__0.1;2460.00;DEFAULT_PEDTYPE;0.96;440.00;32.00;71.38;440.00;2460.00;112.00;2900.00;180.90;440.00;494.06;71.38;1.34;32.00
pf_PedEnd.Minor.200.S_end.E_sidewalk__PedEnd.Minor.280.N_end.E_sidewalk__seg1__0.0;2446.00;DEFAULT_PEDTYPE;1.00;457.00;81.00;118.50;457.00;2446.00;177.70;2903.00;0.10;457.00;469.96;118.50;1.39;81.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__PedEnd.Minor.280.S_end.W_sidewalk__seg1__0.0;2426.00;DEFAULT_PEDTYPE;1.08;477.00;0.00;56.49;477.00;2426.00;0.10;2903.00;0.10;477.00;633.40;56.49;1.51;0.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__seg1__0.10;2619.00;DEFAULT_PEDTYPE;1.05;285.00;0.00;29.41;285.00;2619.00;0.10;2904.00;112.00;285.00;372.92;29.41;1.46;0.00
pf_PedEnd.Minor.200.S_end.E_sidewalk__Node.Main.0.S__seg1__0.2;2506.00;DEFAULT_PEDTYPE;0.96;401.00;71.00;107.81;401.00;2506.00;177.70;2907.00;112.00;401.00;391.66;107.81;1.34;71.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.11;2614.00;DEFAULT_PEDTYPE;1.02;294.00;0.00;30.59;294.00;2614.00;177.70;2908.00;0.10;294.00;373.31;30.59;1.42;0.00
pf_PedEnd.Main.E_end.N_sidewalk__PedEnd.Minor.460.S_end.E_sidewalk__seg1__0.0;2449.00;DEFAULT_PEDTYPE;0.93;462.00;36.00;79.92;462.00;2449.00;112.00;2911.00;180.90;462.00;494.06;79.92;1.29;36.00
pf_PedEnd.Minor.200.S_end.E_sidewalk__Node.Main.0.S__seg1__0.1;2477.00;DEFAULT_PEDTYPE;0.92;436.00;94.00;129.39;436.00;2477.00;177.70;2913.00;112.00;436.00;391.66;129.39;1.28;94.00
pf_PedEnd.Minor.340.S_end.W_sidewalk__Node.Main.0.S__seg1__0.0;2434.00;DEFAULT_PEDTYPE;0.92;480.00;15.00;62.80;480.00;2434.00;0.10;2914.00;112.00;480.00;532.63;62.80;1.28;15.00
pf_PedEnd.Minor.280.N_end.W_sidewalk__Node.Main.0.N__seg1__0.0;2540.00;DEFAULT_PEDTYPE;1.00;374.00;2.00;38.89;374.00;2540.00;180.90;2914.00;0.10;374.00;466.32;38.89;1.39;2.00
pf_PedEnd.Minor.400.S_end.W_sidewalk__PedEnd.Minor.540.S_end.W_sidewalk__seg1__0.0;2560.00;DEFAULT_PEDTYPE;1.14;356.00;0.00;37.15;356.00;2560.00;0.10;2916.00;0.10;356.00;505.86;37.15;1.59;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.9;2600.00;DEFAULT_PEDTYPE;0.99;317.00;0.00;46.43;317.00;2600.00;177.70;2917.00;0.10;317.00;373.31;46.43;1.38;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.13;2645.00;DEFAULT_PEDTYPE;1.12;272.00;0.00;32.94;272.00;2645.00;177.70;2917.00;0.10;272.00;373.31;32.94;1.56;0.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__PedEnd.Minor.460.S_end.W_sidewalk__seg1__0.0;2430.00;DEFAULT_PEDTYPE;1.15;493.00;140.00;176.26;493.00;2430.00;0.10;2923.00;0.10;493.00;507.70;176.26;1.60;140.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__seg1__0.6;2625.00;DEFAULT_PEDTYPE;0.99;300.00;0.00;30.01;300.00;2625.00;0.10;2925.00;112.00;300.00;372.92;30.01;1.38;0.00
