id;depart;departLane;departPos;departSpeed;departDelay;arrival;arrivalLane;arrivalPos;arrivalSpeed;duration;routeLength;waitingTime;waitingCount;stopTime;timeLoss;rerouteNo;devices;vType;speedFactor;vaporized
vf_Node.Minor.460.N_end__Node.Minor.540.N_end__seg0__0.2;1534.00;Edge.Minor.N_arm.SB.460_1;5.10;20.54;0.59;1583.00;Edge.Minor.N_arm.NB.540_1;177.70;19.99;49.00;435.11;10.00;1;0.00;25.06;1;tripinfo_vf_Node.Minor.460.N_end__Node.Minor.540.N_end__seg0__0.2 routing_vf_Node.Minor.460.N_end__Node.Minor.540.N_end__seg0__0.2 fcd_vf_Node.Minor.460.N_end__Node.Minor.540.N_end__seg0__0.2;DEFAULT_VEHTYPE;1.23;
vf_Node.Minor.200.S_end__Node.Main.740.N__seg0__0.29;1464.00;Edge.Minor.S_arm.NB.200_3;5.10;15.46;0.28;1584.00;Edge.Main.EB.620-740_3;112.00;14.30;120.00;731.60;61.00;2;0.00;71.80;1;tripinfo_vf_Node.Minor.200.S_end__Node.Main.740.N__seg0__0.29 routing_vf_Node.Minor.200.S_end__Node.Main.740.N__seg0__0.29 fcd_vf_Node.Minor.200.S_end__Node.Main.740.N__seg0__0.29;DEFAULT_VEHTYPE;0.93;
vf_Node.Minor.460.S_end__Node.Main.0.S__seg0__0.21;1506.00;Edge.Minor.S_arm.NB.460_1;5.10;18.69;0.48;1584.00;Edge.Main.WB.120-0_2;112.00;18.07;78.00;640.57;26.00;1;0.00;42.33;1;tripinfo_vf_Node.Minor.460.S_end__Node.Main.0.S__seg0__0.21 routing_vf_Node.Minor.460.S_end__Node.Main.0.S__seg0__0.21 fcd_vf_Node.Minor.460.S_end__Node.Main.0.S__seg0__0.21;DEFAULT_VEHTYPE;1.12;
vf_Node.Minor.280.S_end__Node.Main.0.S__seg0__0.16;1510.00;Edge.Minor.S_arm.NB.280_1;5.10;19.49;0.06;1584.00;Edge.Main.WB.120-0_3;112.00;19.48;74.00;457.07;29.00;2;0.00;49.28;1;tripinfo_vf_Node.Minor.280.S_end__Node.Main.0.S__seg0__0.16 routing_vf_Node.Minor.280.S_end__Node.Main.0.S__seg0__0.16 fcd_vf_Node.Minor.280.S_end__Node.Main.0.S__seg0__0.16;DEFAULT_VEHTYPE;1.17;
vf_Node.Minor.340.S_end__Node.Main.0.S__seg0__0.11;1513.00;Edge.Minor.S_arm.NB.340_1;5.10;17.19;0.80;1584.00;Edge.Main.WB.120-0_1;112.00;16.98;71.00;520.57;24.00;2;0.00;39.92;1;tripinfo_vf_Node.Minor.340.S_end__Node.Main.0.S__seg0__0.11 routing_vf_Node.Minor.340.S_end__Node.Main.0.S__seg0__0.11 fcd_vf_Node.Minor.340.S_end__Node.Main.0.S__seg0__0.11;DEFAULT_VEHTYPE;1.03;
vf_Node.Minor.540.N_end__Node.Main.0.S__seg0__0.37;1435.00;Edge.Minor.N_arm.SB.540_3;5.10;16.35;0.66;1586.00;Edge.Main.WB.120-0_3;112.00;16.02;151.00;731.60;84.00;3;0.00;104.99;1;tripinfo_vf_Node.Minor.540.N_end__Node.Main.0.S__seg0__0.37 routing_vf_Node.Minor.540.N_end__Node.Main.0.S__seg0__0.37 fcd_vf_Node.Minor.540.N_end__Node.Main.0.S__seg0__0.37;DEFAULT_VEHTYPE;0.98;
vf_Node.Minor.280.S_end__Node.Main.0.S__seg0__0.14;1475.00;Edge.Minor.S_arm.NB.280_1;5.10;17.27;0.46;1586.00;Edge.Main.WB.120-0_2;112.00;16.28;111.00;457.07;64.00;2;0.00;82.91;1;tripinfo_vf_Node.Minor.280.S_end__Node.Main.0.S__seg0__0.14 routing_vf_Node.Minor.280.S_end__Node.Main.0.S__seg0__0.14 fcd_vf_Node.Minor.280.S_end__Node.Main.0.S__seg0__0.14;DEFAULT_VEHTYPE;1.04;
vf_Node.Minor.200.S_end__Node.Main.740.N__seg0__0.30;1526.00;Edge.Minor.S_arm.NB.200_3;5.10;16.95;0.99;1586.00;Edge.Main.EB.620-740_3;112.00;16.23;60.00;731.60;5.00;1;0.00;15.55;1;tripinfo_vf_Node.Minor.200.S_end__Node.Main.740.N__seg0__0.30 routing_vf_Node.Minor.200.S_end__Node.Main.740.N__seg0__0.30 fcd_vf_Node.Minor.200.S_end__Node.Main.740.N__seg0__0.30;DEFAULT_VEHTYPE;1.02;
vf_Node.Minor.540.N_end__Node.Main.0.S__seg0__0.38;1536.00;Edge.Minor.N_arm.SB.540_3;5.10;18.00;0.15;1587.00;Edge.Main.WB.120-0_3;112.00;17.01;51.00;731.60;0.00;0;0.00;9.87;1;tripinfo_vf_Node.Minor.540.N_end__Node.Main.0.S__seg0__0.38 routing_vf_Node.Minor.540.N_end__Node.Main.0.S__seg0__0.38 fcd_vf_Node.Minor.540.N_end__Node.Main.0.S__seg0__0.38;DEFAULT_VEHTYPE;1.08;
vf_Node.Minor.280.S_end__Node.Main.0.S__seg0__0.15;1479.00;Edge.Minor.S_arm.NB.280_1;5.10;14.46;0.10;1588.00;Edge.Main.WB.120-0_1;112.00;14.09;109.00;457.07;63.00;2;0.00;76.09;1;tripinfo_vf_Node.Minor.280.S_end__Node.Main.0.S__seg0__0.15 routing_vf_Node.Minor.280.S_end__Node.Main.0.S__seg0__0.15 fcd_vf_Node.Minor.280.S_end__Node.Main.0.S__seg0__0.15;DEFAULT_VEHTYPE;0.87;
