id;depart;departLane;departPos;departSpeed;departDelay;arrival;arrivalLane;arrivalPos;arrivalSpeed;duration;routeLength;waitingTime;waitingCount;stopTime;timeLoss;rerouteNo;devices;vType;speedFactor;vaporized
vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.17;95.00;Edge.Minor.N_arm.SB.200_2;5.10;18.33;0.80;118.00;Edge.Minor.S_arm.SB.200_2;177.70;17.76;23.00;395.01;0.00;0;0.00;0.93;1;tripinfo_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.17 routing_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.17 fcd_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.17;DEFAULT_VEHTYPE;1.10;
vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.15;96.00;Edge.Minor.S_arm.NB.200_1;5.10;18.12;0.26;119.00;Edge.Minor.N_arm.NB.200_2;177.70;17.56;23.00;395.01;0.00;0;0.00;1.16;1;tripinfo_vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.15 routing_vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.15 fcd_vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.15;DEFAULT_VEHTYPE;1.09;
vf_Node.Minor.540.S_end__Node.Minor.540.N_end__0.7;96.00;Edge.Minor.S_arm.NB.540_1;5.10;18.33;0.71;119.00;Edge.Minor.N_arm.NB.540_1;177.70;17.83;23.00;395.01;0.00;0;0.00;0.89;1;tripinfo_vf_Node.Minor.540.S_end__Node.Minor.540.N_end__0.7 routing_vf_Node.Minor.540.S_end__Node.Minor.540.N_end__0.7 fcd_vf_Node.Minor.540.S_end__Node.Minor.540.N_end__0.7;DEFAULT_VEHTYPE;1.10;
vf_Node.Minor.540.S_end__Node.Main.740.N__0.0;2.00;Edge.Minor.S_arm.NB.540_3;5.10;17.76;0.93;120.00;Edge.Main.EB.620-740_3;112.00;17.67;118.00;391.11;82.00;2;0.00;94.99;1;tripinfo_vf_Node.Minor.540.S_end__Node.Main.740.N__0.0 routing_vf_Node.Minor.540.S_end__Node.Main.740.N__0.0 fcd_vf_Node.Minor.540.S_end__Node.Main.740.N__0.0;DEFAULT_VEHTYPE;1.07;
vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.18;97.00;Edge.Minor.N_arm.SB.200_1;5.10;17.57;0.04;121.00;Edge.Minor.S_arm.SB.200_2;177.70;17.24;24.00;395.01;0.00;0;0.00;1.15;1;tripinfo_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.18 routing_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.18 fcd_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.18;DEFAULT_VEHTYPE;1.05;
vf_Node.Minor.200.S_end__Node.Main.0.S__0.2;91.00;Edge.Minor.S_arm.NB.200_1;5.10;14.53;0.09;122.00;Edge.Main.WB.120-0_1;112.00;13.49;31.00;373.13;0.00;0;0.00;3.66;1;tripinfo_vf_Node.Minor.200.S_end__Node.Main.0.S__0.2 routing_vf_Node.Minor.200.S_end__Node.Main.0.S__0.2 fcd_vf_Node.Minor.200.S_end__Node.Main.0.S__0.2;DEFAULT_VEHTYPE;0.87;
vf_Node.Minor.540.S_end__Node.Minor.540.N_end__0.9;99.00;Edge.Minor.S_arm.NB.540_2;5.10;17.17;0.42;123.00;Edge.Minor.N_arm.NB.540_2;177.70;16.41;24.00;395.01;0.00;0;0.00;0.84;1;tripinfo_vf_Node.Minor.540.S_end__Node.Minor.540.N_end__0.9 routing_vf_Node.Minor.540.S_end__Node.Minor.540.N_end__0.9 fcd_vf_Node.Minor.540.S_end__Node.Minor.540.N_end__0.9;DEFAULT_VEHTYPE;1.03;
vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.15;96.00;Edge.Minor.N_arm.SB.540_1;5.10;15.11;0.16;124.00;Edge.Minor.S_arm.SB.540_1;177.70;13.99;28.00;395.01;0.00;0;0.00;1.41;1;tripinfo_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.15 routing_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.15 fcd_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.15;DEFAULT_VEHTYPE;0.91;
vf_Node.Minor.200.N_end__Node.Main.0.S__0.0;3.00;Edge.Minor.N_arm.SB.200_3;5.10;18.26;0.30;126.00;Edge.Main.WB.120-0_3;112.00;17.75;123.00;391.11;88.00;2;0.00;100.25;1;tripinfo_vf_Node.Minor.200.N_end__Node.Main.0.S__0.0 routing_vf_Node.Minor.200.N_end__Node.Main.0.S__0.0 fcd_vf_Node.Minor.200.N_end__Node.Main.0.S__0.0;DEFAULT_VEHTYPE;1.10;
vf_Node.Minor.200.N_end__Node.Main.0.S__0.1;5.00;Edge.Minor.N_arm.SB.200_3;5.10;19.45;0.50;127.00;Edge.Main.WB.120-0_3;112.00;18.98;122.00;391.11;86.00;2;0.00;101.07;1;tripinfo_vf_Node.Minor.200.N_end__Node.Main.0.S__0.1 routing_vf_Node.Minor.200.N_end__Node.Main.0.S__0.1 fcd_vf_Node.Minor.200.N_end__Node.Main.0.S__0.1;DEFAULT_VEHTYPE;1.17;
